the_geom,the_geom_webmercator,objectid,year,dc_key,code,date_,time,race,sex,age,wound,officer_involved,offender_injured,offender_deceased,location,latino,point_x,point_y,dist,inside,outside,fatal,lat,lng
0101000020E6100000850F801365CE52C08070B2CB3FFA4340,0101000020110F000077DDD1ECBBF15FC1A23F19E685895241,376132,2017,201718066381.0,0411,2017-09-24,21:36:00,B,M,17,arm,N,N,N,5100 BLOCK Irving St,0,2676298.85598189,236610.69960281,18,0,1,0,39.95507189,-75.2249192
0101000020E6100000850F801365CE52C08070B2CB3FFA4340,0101000020110F000077DDD1ECBBF15FC1A23F19E685895241,376133,2017,201718066387.0,0411,2017-09-24,21:36:00,B,M,35,leg,N,N,N,5100 BLOCK Irving St,0,2676298.85598189,236610.69960281,18,0,1,0,39.95507189,-75.2249192
0101000020E6100000850F801365CE52C08070B2CB3FFA4340,0101000020110F000077DDD1ECBBF15FC1A23F19E685895241,376134,2017,201718066399.0,0411,2017-09-24,21:36:00,B,M,31,back,N,N,N,5100 BLOCK Irving St,0,2676298.85598189,236610.69960281,18,0,1,0,39.95507189,-75.2249192
0101000020E6100000ECF8712C96CF52C05073D1142AFB4340,0101000020110F0000B3ABED29C2F35FC14325797D898A5241,376135,2017,201718070453.0,0411,2017-10-11,22:17:00,B,M,22,hip,N,N,N,6100 BLOCK Market St,0,2671006.55652714,239065.50571682,18,0,1,0,39.96222172,-75.24354087
0101000020E6100000DD7B97D64FCF52C07E337379DAFA4340,0101000020110F00000AA42CB14AF35FC127981B48318A5241,376136,2017,201718070482.0,0407,2017-10-12,01:00:00,B,M,22,knee,N,N,N,100 BLOCK S 59th St,0,2672234.60787681,238215.0507248,18,0,1,0,39.95979231,-75.23924794
0101000020E610000059FC85A269CE52C0A8263572E5FB4340,0101000020110F0000B44320ABC3F15FC16085B41C598B5241,376137,2017,201719015653.0,0350,2017-02-23,21:20:00,W,M,55,leg,N,N,N,400 BLOCK N 52nd St,0,2676086.88790189,241294.04456681,19,0,1,0,39.96793964,-75.22519744
0101000020E6100000AF9FF6425ED052C0FB9720FA20FD4340,0101000020110F00007DAB870816F55FC165DCDECBB68C5241,376138,2017,201719021747.0,0111,2017-03-16,23:52:00,B,M,23,head,N,N,N,1000 BLOCK N 68th St,0,2667426.71427739,244557.06297514,19,0,1,1,39.97756888,-75.25575327
0101000020E61000002C007CA64DCE52C09A38C1506AFC4340,0101000020110F0000BEED482294F15FC1719A795BEC8B5241,376139,2017,201719008195.0,0411,2017-01-29,01:15:00,B,M,30,multi,N,N,N,5000 BLOCK W Girard Ave,0,2676523.18919464,242784.24040531,19,0,1,0,39.97199449,-75.2234894
0101000020E610000052041F206BCF52C0FCB4617F1FFB4340,0101000020110F0000A98ECC0A79F35FC1F2283CC37D8A5241,376140,2017,201719013853.0,0300,2017-02-25,12:00:00,B,M,25,finger,N,N,N,6000 BLOCK Market St,0,2671746.12033673,238968.80446665,19,0,1,0,39.96189873,-75.24091342
0101000020E610000065481D36B4CE52C0F35C3A41F6FA4340,0101000020110F0000B7501D5842F25FC1517A3910508A5241,376141,2017,201719014051.0,0411,2017-02-18,21:15:00,B,M,16,foot,N,N,N,0 BLOCK N Conestoga St,0,2674887.45132439,238599.59884022,19,0,1,0,39.9606401,-75.22974923
